Question,Answer,Difficulty,Options
What is 8 * 7 - 5?,51,Medium,"['11', '4', '1/s', '51']"
What is the sum of the first 5 prime numbers?,28,Medium,"['2.72', '42', '(4/3)πr^3', '28']"
What is the value of tan(45 degrees)?,1,Medium,"['-2', '1/s', '1', '15']"
What is the area of a rectangle with length 5 and width 3?,15,Medium,"['180', '2', '55', '15']"
Solve for x: x^2 - 4 = 0,2,Medium,"['2', '2.72', '-1', '0.5']"
What is the value of e (Euler's number) to two decimal places?,2.72,Medium,"['120', '2.72', '180', '0']"
What is the Pythagorean theorem?,a^2 + b^2 = c^2,Medium,"['2x', 'a^2 + b^2 = c^2', '1 + x + x^2/2 + x^3/6 + ...', '(4/3)πr^3']"
What is the factorial of 5?,120,Medium,"['120', '4', '[[-2, 1], [1.5, -0.5]]', '15']"
What is the derivative of sin(x)?,cos(x),Hard,"['11', '1/x', 'cos(x)', '2πr']"
What is the integral of e^x?,e^x + C,Hard,"['2x', '2.72', '8/3', 'e^x + C']"
What is the value of ln(1)?,0,Hard,"['2', '0', '15', 'cos(x)']"
Solve for x: x^2 + 4x + 4 = 0,-2,Hard,"['120', '-2', '1/x', '2.72']"
What is the area under the curve y = x^2 from x = 0 to x = 2?,8/3,Hard,"['a^2 + b^2 = c^2', '19', '180 degrees', '8/3']"
What is the solution to the system of equations: 2x + 3y = 6 and x - y = 2?,"(2, 0)",Hard,"['120', '4', '28', '(2, 0)']"
"What is the determinant of a 2x2 matrix [[2, 3], [1, 4]]?",5,Hard,"['28.27', '55', '(4/3)πr^3', '5']"
What is the sum of the infinite geometric series 1 + 1/2 + 1/4 + 1/8 + ...?,2,Hard,"['2', '1/x', '180', '120']"
What is the derivative of ln(x)?,1/x,Hard,"['x^2 + C', '1/x', '(4/3)πr^3', '[[-2, 1], [1.5, -0.5]]']"
What is the Taylor series expansion of e^x at x=0?,1 + x + x^2/2 + x^3/6 + ...,Hard,"['1 + x + x^2/2 + x^3/6 + ...', '1.618', '1/s', '3']"
What is the value of cos(pi)?,-1,Hard,"['25', '7', '4', '-1']"
Solve for x: e^x = 5,ln(5),Hard,"['8', 'ln(5)', '51', '42']"
What is the formula for the volume of a sphere?,(4/3)πr^3,Hard,"['7', '(4/3)πr^3', '25', '5']"
What is the value of sinh(0)?,0,Hard,"['180', '4', '0', '51']"
What is the value of 0! (zero factorial)?,1,Hard,"['120', '1', '15', '180 degrees']"
What is the Laplace transform of 1?,1/s,Hard,"['55', '1/s', '0', '15']"
"What is the inverse of the matrix [[1, 2], [3, 4]]?","[[-2, 1], [1.5, -0.5]]",Hard,"['2', '-2', '[[-2, 1], [1.5, -0.5]]', '3']"
What is the sum of the series 1 + 2 + 3 + ... + 100?,5050,Hard,"['5050', '28.27', '1.618', '100']"
What is the solution to the equation x^3 - 3x + 2 = 0?,1,Hard,"['28.27', '8', '[[-2, 1], [1.5, -0.5]]', '1']"
What is the value of the golden ratio?,1.618,Hard,"['x^2 + C', '1.618', '19', '-1']"
